Ranking,P1 BWF ID,P1 Last Name,P1 First Name,P1 Country,P2 BWF ID,P2 Last Name,P2 First Name,P2 Country,Points,Tour
1,61731,PUAVARANUKROH,Dechapol,THA,67158,TAERATTANACHAI,Sapsiree,THA,115400,30
2,83046,ZHENG,Si Wei,CHN,63168,HUANG,Ya Qiong,CHN,110802,18
3,99452,WANG,Yi Lyu,CHN,89426,HUANG,Dong Ping,CHN,104817,21
4,58240,WATANABE,Yuta,JPN,79558,HIGASHINO,Arisa,JPN,104297,27
5,89916,JORDAN,Praveen,INA,82061,OKTAVIANTI,Melati Daeva,INA,93949,32
6,66513,SEO,Seungjae,KOR,93074,CHAE,YuJung,KOR,80720,22
7,77689,TANG,Chun Man,HKG,61435,TSE,Ying Suet,HKG,78250,32
8,53142,CHAN,Peng Soon,MAS,53159,GOH,Liu Ying,MAS,73320,32
9,71349,ELLIS,Marcus,ENG,80918,SMITH,Lauren,ENG,71474,36
10,67654,TAN,Kian Meng,MAS,47007,LAI,Pei Jing,MAS,66570,33
11,12557,FAIZAL,Hafiz,INA,81702,WIDJAJA,Gloria Emanuelle,INA,66380,32
12,68544,GICQUEL,Thom,FRA,70762,DELRUE,Delphine,FRA,65932,35
13,92593,GOH,Soon Huat,MAS,56352,LAI,Shevon Jemie,MAS,65372,30
14,99521,CHRISTIANSEN,Mathias,DEN,88779,BØJE,Alexandra,DEN,64493,35
15,68045,LAMSFUSS,Mark,GER,98052,LOHAU,Isabel,GER,61874,37
16,70333,ADCOCK,Chris,ENG,62844,ADCOCK,Gabrielle,ENG,59002,18
17,95761,KANEKO,Yuki,JPN,43851,MATSUTOMO,Misaki,JPN,58606,20
18,88094,KO,Sung Hyun,KOR,28492,EOM,Hye Won,KOR,56040,17
19,99484,ALIMOV,Rodion,RUS,72565,DAVLETOVA,Alina,RUS,53853,34
20,66357,TABELING,Robin,NED,67176,PIEK,Selena,NED,53309,31
21,59673,HE,Ji Ting,CHN,65984,DU,Yue,CHN,52901,17
22,88451,RIVALDY,Rinov,INA,59465,MENTARI,Pitha Haningtyas,INA,51903,29
23,72675,HOO,Pang Ron,MAS,58879,CHEAH,Yee See,MAS,51003,26
24,99102,LEE,Jhe-Huei,TPE,74561,HSU,Ya Ching,TPE,47693,22
25,72435,RANKIREDDY,Satwiksairaj,IND,49765,PONNAPPA,Ashwini,IND,47687,15
26,73936,JOMKOH,Supak,THA,74980,PAEWSAMPRAN,Supissara,THA,47480,23
27,87674,CHANG,Tak Ching,HKG,87616,NG,Wing Yung,HKG,46130,24
28,64188,NOHR,Niclas,DEN,95643,MAGELUND,Amalie,DEN,44372,16
29,30342,PHUANGPHUAPET,Nipitphon,THA,53582,AMITRAPAI,Savitree,THA,42712,18
30,63571,MAULANA,Adnan,INA,76782,BANDASO,Mychelle Crhystine,INA,42230,19
31,69194,HURLBURT-YU,Joshua,CAN,86226,WU,Josephine,CAN,41760,31
32,96514,WANG,Chi-Lin,TPE,92339,CHENG,Chi Ya,TPE,41080,22
33,28549,LU,Kai,CHN,72349,CHEN,Lu,CHN,41080,14
34,81657,HOKI,Takuro,JPN,77832,NAGAHARA,Wakana,JPN,40982,18
35,35374,MAGEE,Sam,IRL,89666,MAGEE,Chloe,IRL,40633,30
36,57839,CHOPRA,Pranaav Jerry,IND,17515,REDDY N.,Sikki,IND,38551,22
37,81844,GUO,Xin Wa,CHN,85914,ZHANG,Shu Xian,CHN,38050,12
38,76275,YANG,Po-Hsuan,TPE,87176,HU,Ling Fang,TPE,37835,19
39,76278,LANE,Ben,ENG,77018,PUGH,Jessica,ENG,37440,12
40,91090,CHEN,Tang Jie,MAS,64966,PECK,Yen Wei,MAS,37417,18
41,76031,MIKKELSEN,Mikkel,DEN,58111,SØBY,Rikke,DEN,36870,13
42,82009,YAMASHITA,Kyohei,JPN,99067,SHINOYA,Naru,JPN,35520,12
43,22038,LABAR,Ronan,FRA,98854,TRAN,Anne,FRA,34919,23
44,69316,BAY,Jeppe,DEN,71690,LUNDGAARD,Sara,DEN,34200,13
45,69448,LEE,Yang,TPE,78687,YANG,Ching Tun,TPE,33900,16
46,64909,SEIDEL,Marvin,GER,83942,EFLER,Linda,GER,33543,17
47,58241,OU,Xuan Yi,CHN,59576,FENG,Xue Ying,CHN,32759,11
48,86756,HEMMING,Callum,ENG,77018,PUGH,Jessica,ENG,31810,12
49,84812,REN,Xiang Yu,CHN,63185,ZHOU,Chao Min,CHN,31070,11
50,85159,HALL,Adam,SCO,91715,MACPHERSON,Julie,SCO,30853,26
51,72466,ELGAMAL,Adham Hatem,EGY,61746,HANY,Doha,EGY,30205,23
52,93569,GONDO,Kohei,JPN,89285,KURIHARA,Ayane,JPN,30190,16
53,84057,THYRRI,Mathias,DEN,64816,SURROW,Mai,DEN,30100,14
54,87045,KUSHARJANTO,Rehan Naufal,INA,82610,KUSUMAWATI,Lisa Ayu,INA,29110,12
55,11606,DREMIN,Evgenij,RUS,53676,DIMOVA,Evgenia,RUS,28988,16
56,27624,LEYDON-DAVIS,Oliver,NZL,57325,PAK,Anona,NZL,27484,20
57,88726,JANSEN,Jones Ralfy,GER,74944,OSTERMEYER,Kilasu,GER,27220,18
58,64188,NOHR,Niclas,DEN,68189,THYGESEN,Sara,DEN,26990,11
59,69649,FARIAS,Fabricio,BRA,57457,LIMA,Jaqueline,BRA,26620,15
60,98935,M.R. ARJUN,,IND,56836,MANEESHA K,,IND,26420,13
