Ranking,P1 BWF ID,P1 Last Name,P1 First Name,P1 Country,P2 BWF ID,P2 Last Name,P2 First Name,P2 Country,Points,Tour
1,94125,CHEN,Qing Chen,CHN,65144,JIA,Yi Fan,CHN,113104,17
2,56706,BAEK,Ha Na,KOR,91292,LEE,So Hee,KOR,97150,20
3,55874,KIM,So Yeong,KOR,71391,KONG,Hee Yong,KOR,89025,19
4,65212,MATSUYAMA,Nami,JPN,68282,SHIDA,Chiharu,JPN,86695,22
5,71023,FUKUSHIMA,Yuki,JPN,94519,HIROTA,Sayaka,JPN,83105,24
6,81462,RAHAYU,Apriyani,INA,88097,RAMADHANTI,Siti Fadia Silva,INA,78353,21
7,85914,ZHANG,Shu Xian,CHN,85331,ZHENG,Yu,CHN,77263,19
8,81599,LIU,Sheng Shu,CHN,59880,TAN,Ning,CHN,75790,19
9,81609,MATSUMOTO,Mayu,JPN,77832,NAGAHARA,Wakana,JPN,75483,20
10,24686,KITITHARAKUL,Jongkolphan,THA,84669,PRAJONGJAI,Rawinda,THA,72273,25
11,99778,JEONG,Na Eun,KOR,83419,KIM,Hye Jeong,KOR,66990,17
12,85551,TAN,Pearly,MAS,68628,THINAAH,Muralitharan,MAS,65821,19
13,80871,AIMSAARD,Benyapa,THA,79198,AIMSAARD,Nuntakarn,THA,62095,23
14,84874,MIYAURA,Rena,JPN,83211,SAKURAMOTO,Ayako,JPN,60560,20
15,88135,IWANAGA,Rin,JPN,87428,NAKANISHI,Kie,JPN,58610,24
16,78837,LI,Wen Mei,CHN,60567,LIU,Xuan Xuan,CHN,55599,20
17,79664,KUSUMA,Febriana Dwipuji,INA,67761,PRATIWI,Amallia Cahaya,INA,52420,22
18,43840,STOEVA,Gabriela,BUL,46169,STOEVA,Stefani,BUL,51200,21
19,71612,JOLLY,Treesa,IND,59966,PULLELA,GAYATRI GOPICHAND,IND,49435,19
20,70042,FRUERGAARD,Maiken,DEN,68189,THYGESEN,Sara,DEN,49024,21
21,68015,YEUNG,Nga Ting,HKG,75864,YEUNG,Pui Lam,HKG,48570,23
22,99891,LAMBERT,Margot,FRA,98854,TRAN,Anne,FRA,48317,24
23,76717,LEE,Chia Hsin,TPE,80299,TENG,Chun Hsun,TPE,47209,30
24,94165,CRASTO,Tanisha,IND,49765,PONNAPPA,Ashwini,IND,46520,17
25,66115,LEE,Yu Lim,KOR,87473,SHIN,Seung Chan,KOR,44530,18
26,85540,LI,Yi Jing,CHN,65300,LUO,Xu Min,CHN,44290,18
27,74561,HSU,Ya Ching,TPE,74686,LIN,Wan Ching,TPE,43636,25
28,57791,CHOI,Catherine,CAN,86226,WU,Josephine,CAN,41814,23
29,84159,HIROKAMI,Rui,JPN,90323,KATO,Yuna,JPN,41730,19
30,57560,MAYASARI,Lanny Tria,INA,96455,SUGIARTO,Ribka,INA,39687,15
31,71644,XU,Annie,USA,85896,XU,Kerry,USA,38610,25
32,83942,EFLER,Linda,GER,98052,LOHAU,Isabel,GER,38569,24
33,67373,JILLE,Debora,NED,70503,SEINEN,Cheryl,NED,38423,19
34,82364,PUSPITASARI,Meilysa Trias,INA,94567,ROSE,Rachel Allessya,INA,37940,15
35,73013,JIN,Yu Jia,SGP,59275,WONG,Jia Ying Crystal,SGP,37871,18
36,61882,CORBETT,Francesca,USA,65708,LEE,Allison,USA,35900,21
37,54149,HOO,Vivian,MAS,70093,LIM,Chiew Sien,MAS,35840,23
38,50715,BIRCH,Chloe,ENG,80918,SMITH,Lauren,ENG,35079,15
39,75270,CHANG,Ching Hui,TPE,78687,YANG,Ching Tun,TPE,34800,23
40,87893,LUI,Lok Lok,HKG,87616,NG,Wing Yung,HKG,34610,13
41,77441,MAPASA,Setyana,AUS,71065,YU,Angela,AUS,34580,13
42,59014,HOBARA,Sayaka,JPN,54996,SUIZU,Yui,JPN,34430,14
43,86525,MIANTORO,Jesita Putri,INA,55481,SETIANINGRUM,Febi,INA,32960,11
44,13381,CAO HOK,Paula Lynn,USA,69091,LAM,Lauren,USA,31880,26
45,91715,MACPHERSON,Julie,SCO,92277,TORRANCE,Ciara,SCO,31679,19
46,77949,LIU,Chiao‐Yun,TPE,82408,WANG,Yu Qiao,TPE,31620,13
47,74803,KANLAHA,Laksika,THA,56460,MUENWONG,Phataimas,THA,31086,12
48,95062,HSIEH,Pei Shan,TPE,68834,TSENG,Yu‐Chi,TPE,29710,13
49,97171,BHAT K.,Ashwini,IND,77808,GAUTAM,Shikha,IND,28635,18
50,56522,LIMA,Sania,BRA,84897,VIEIRA,Juliana Viana,BRA,27840,12
51,87176,HU,Ling Fang,TPE,65203,LIN,Xiao Min,TPE,27330,13
52,80547,PANDA,Rutaparna,IND,67676,PANDA,Swetaparna,IND,26070,23
53,74980,PAEWSAMPRAN,Supissara,THA,68441,SUPAJIRAKUL,Puttita,THA,26030,8
54,88807,SUNG,Shuo Yun,TPE,75154,YU,Chien Hui,TPE,25730,8
55,63493,KENG,Shu Liang,CHN,88450,ZHANG,Chi,CHN,25680,8
56,78795,KUESPERT,Stine,GER,57180,MOSZCZYNSKI,Emma,GER,25487,17
57,57457,LIMA,Jaqueline,BRA,76507,LIMA,Samia,BRA,25427,14
58,86455,SJOO,Moa,SWE,60603,SJOO,Tilda,SWE,23830,15
59,88278,DE WIT,Kirsten,NED,76188,TIRTOSENTONO,Alyssa,NED,23666,13
60,96531,GURAZADA,Srivedya,USA,88399,JAISWAL,Ishika,USA,23470,10
