Ranking,BWF ID,Last Name,First Name,Country,Points,Tour
1,25831,AXELSEN,Viktor,DEN,116779,32
2,89785,MOMOTA,Kento,JPN,112210,22
3,91554,ANTONSEN,Anders,DEN,98300,32
4,34810,CHOU,Tien Chen,TPE,92682,34
5,95661,GINTING,Anthony Sinisuka,INA,87567,29
6,75787,CHEN,Long,CHN,84400,18
7,81561,LEE,Zii Jia,MAS,78860,35
8,73442,CHRISTIE,Jonatan,INA,77647,29
9,45171,NG,Ka Long Angus,HKG,69370,31
10,93627,KIDAMBI,Srikanth,IND,69158,35
11,62855,GEMKE,Rasmus,DEN,68203,34
12,57823,TSUNEYAMA,Kanta,JPN,65485,30
13,87375,WANG,Tzu Wei,TPE,65042,40
14,57945,SHI,Yu Qi,CHN,64941,16
15,76115,LOH,Kean Yew,SGP,63964,25
16,94780,LEE,Cheuk Yiu,HKG,61910,29
17,68870,SEN,Lakshya,IND,61747,32
18,42776,SAI PRANEETH B.,,IND,59276,29
19,85394,NISHIMOTO,Kenta,JPN,58243,31
20,64032,VITIDSARN,Kunlavut,THA,57192,31
21,92508,WANGCHAROEN,Kantaphon,THA,56723,37
22,53753,VITTINGHUS,Hans-Kristian Solberg,DEN,56217,28
23,81887,RHUSTAVITO,Shesar Hiren,INA,52278,29
24,76973,CALJOUW,Mark,NED,50169,31
25,77003,VERMA,Sameer,IND,49639,28
26,83950,PRANNOY H. S.,,IND,49585,32
27,77427,LU,Guang Zu,CHN,48669,23
28,14587,SUGIARTO,Tommy,INA,48400,22
29,54431,O JORGENSEN,Jan,DEN,47664,17
30,68718,HEO,Kwanghee,KOR,46524,29
31,58963,THAMMASIN,Sitthikom,THA,46257,26
32,61628,POPOV,Toma Junior,FRA,46136,30
33,71261,HUANG,Yu Xiang,CHN,45000,17
34,53944,PARUPALLI,Kashyap,IND,43440,29
35,52864,LIEW,Daren,MAS,42500,28
36,25925,VERMA,Sourabh,IND,42400,24
37,95930,ZHAO,Jun Peng,CHN,42375,15
38,52968,LEVERDEZ,Brice,FRA,41324,35
39,63122,YANG,Brian,CAN,41135,38
40,38500,ROUXEL,Thomas,FRA,40870,33
41,29449,PHETPRADAB,Khosit,THA,39793,23
42,54897,CORDON,Kevin,GUA,39742,20
43,97174,WATANABE,Koki,JPN,39146,19
44,54513,SAENSOMBOONSUK,Tanongsak,THA,36460,17
45,85095,NGUYEN,Nhat,IRL,35810,31
46,93791,HO-SHUE,Jason Anthony,CAN,35319,32
47,62063,NARAOKA,Kodai,JPN,34717,15
48,52953,ZILBERMAN,Misha,ISR,34314,30
49,88523,PENTY,Toby,ENG,34289,23
50,55280,WONG,Wing Ki Vincent,HKG,34050,17
51,96429,COELHO,Ygor,BRA,33909,33
52,57762,SUN,Fei Xiang,CHN,33690,15
53,14251,ABIAN,Pablo,ESP,33280,39
54,71408,DWI WARDOYO,Chico Aura,INA,32986,18
55,64933,LEE,Dong Keun,KOR,32655,20
56,46874,AVIHINGSANON,Suppanyu,THA,32486,22
57,60967,DEY,Subhankar,IND,32015,24
58,83985,BURESTEDT,Felix,SWE,31411,29
59,84815,WEISSKIRCHEN,Max,GER,30916,27
60,81362,NG,Tze Yong,MAS,30683,16
