Ranking,BWF ID,Last Name,First Name,Country,Points,Tour
1,87442,AN,Se Young,KOR,113314,18
2,78778,CHEN,Yu Fei,CHN,101646,18
3,96312,YAMAGUCHI,Akane,JPN,97117,15
4,61427,TAI,Tzu Ying,TPE,91936,19
5,18228,MARIN,Carolina,ESP,86337,19
6,87434,HE,Bing Jiao,CHN,75574,18
7,83802,TUNJUNG,Gregoria Mariska,INA,72671,23
8,92967,HAN,Yue,CHN,72008,24
9,53806,ZHANG,Beiwen,USA,66640,25
10,61854,WANG,Zhi Yi,CHN,65050,20
11,73173,PUSARLA,V. Sindhu,IND,62640,22
12,70930,KIM,Ga Eun,KOR,61176,28
13,35642,INTANON,Ratchanok,THA,59913,15
14,84062,CHOCHUWONG,Pornpawee,THA,57349,23
15,95189,OHORI,Aya,JPN,56510,24
16,91422,KATETHONG,Supanida,THA,56299,23
17,58720,ZHANG,Yi Man,CHN,55704,21
18,91224,BLICHFELDT,Mia,DEN,52679,18
19,58271,ONGBAMRUNGPHAN,Busanan,THA,50434,17
20,63437,KJAERSFELDT,Line Højmark,DEN,49661,23
21,75678,NGUYEN,Thuy Linh,VIE,48200,15
22,83822,YEO,Jia Min,SGP,46580,25
23,89583,HSU,Wen Chi,TPE,44892,36
24,84523,LI,Michelle,CAN,44041,15
25,48528,GILMOUR,Kirsty,SCO,43813,23
26,96713,OKUHARA,Nozomi,JPN,43190,18
27,91106,LI,Yvonne,GER,42676,25
28,85302,CHRISTOPHERSEN,Line,DEN,41374,24
29,99925,PAI,Yu Po,TPE,40910,26
30,88807,SUNG,Shuo Yun,TPE,39943,28
31,69012,GOH,Jin Wei,MAS,39733,23
32,76890,WARDANI,Putri Kusuma,INA,39470,22
33,78116,GAO,Fang Jie,CHN,38915,13
34,91896,NIDAIRA,Natsuki,JPN,37740,16
35,61568,KAWAKAMI,Saena,JPN,37312,18
36,99069,SIM,Yu Jin,KOR,36539,18
37,87885,ARIN,Neslihan,TUR,35788,14
38,62301,CHAIWAN,LALINRAT,THA,33517,15
39,82070,MIYAZAKI,Tomoka,JPN,32270,9
40,80402,KASHYAP,AAKARSHI,IND,31629,23
41,96725,LIN,Hsiang Ti,TPE,30900,20
42,62385,THET HTAR,THUZAR,MYA,30840,20
43,72280,CHOEIKEEWONG,Pornpicha,THA,30630,18
44,57798,WANG,Iris,USA,30550,13
45,77002,JAKOBSEN,Julie Dawall,DEN,29900,13
46,91560,ZHANG,Wen Yu,CAN,29205,26
47,73015,KUUBA,Kristin,EST,29202,18
48,55318,TAN,Lianne,BEL,29080,23
49,69091,LAM,Lauren,USA,28990,26
50,85048,WARDOYO,Ester Nurumi Tri,INA,28840,13
51,74218,AZURMENDI,Clara,ESP,28761,21
52,88471,BANSOD,Malvika,IND,28430,23
53,84897,VIEIRA,Juliana Viana,BRA,28179,18
54,97685,HUANG,Yu‐Hsun,TPE,27820,20
55,69463,OPATNIPUTH,Pitchamon,THA,27780,12
56,59687,HOODA,Unnati,IND,27770,15
57,67828,SUIZU,Manami,JPN,27180,12
58,77256,QI,Xuefei,FRA,27009,15
59,93852,LIANG,Ting Yu,TPE,26470,12
60,59367,LETSHANAA,Karupathevan,MAS,26454,15
