Ranking,P1 BWF ID,P1 Last Name,P1 First Name,P1 Country,P2 BWF ID,P2 Last Name,P2 First Name,P2 Country,Points,Tour
1,26394,GIDEON,Marcus Fernaldi,INA,80057,SUKAMULJO,Kevin Sanjaya,INA,111827,29
2,51074,SETIAWAN,Hendra,INA,52749,AHSAN,Mohammad,INA,102330,31
3,69448,LEE,Yang,TPE,96514,WANG,Chi-Lin,TPE,100826,38
4,81657,HOKI,Takuro,JPN,67903,KOBAYASHI,Yugo,JPN,97882,28
5,54026,ENDO,Hiroyuki,JPN,58240,WATANABE,Yuta,JPN,84863,20
6,70969,KAMURA,Takeshi,JPN,90623,SONODA,Keigo,JPN,84503,21
7,56203,CHIA,Aaron,MAS,99389,SOH,Wooi Yik,MAS,77181,37
8,88876,ALFIAN,Fajar,INA,91130,ARDIANTO,Muhammad Rian,INA,76284,30
9,92980,ASTRUP,Kim,DEN,44414,RASMUSSEN,Anders Skaarup,DEN,75454,34
10,72435,RANKIREDDY,Satwiksairaj,IND,70500,SHETTY,Chirag,IND,72718,28
11,84064,ONG,Yew Sin,MAS,99066,TEO,Ee Yi,MAS,71900,34
12,67810,CHOI,SolGyu,KOR,66513,SEO,Seungjae,KOR,69750,26
13,54805,GOH V,Shem,MAS,52071,TAN,Wee Kiong,MAS,63730,26
14,71349,ELLIS,Marcus,ENG,51624,LANGRIDGE,Chris,ENG,63304,25
15,53924,IVANOV,Vladimir,RUS,67068,SOZONOV,Ivan,RUS,62025,36
16,68045,LAMSFUSS,Mark,GER,64909,SEIDEL,Marvin,GER,61417,37
17,90768,GOH,Sze Fei,MAS,94814,IZZUDDIN,Nur,MAS,56553,29
18,76278,LANE,Ben,ENG,72478,VENDY,Sean,ENG,56399,36
19,59673,HE,Ji Ting,CHN,58678,TAN,Qiang,CHN,56260,24
20,88094,KO,Sung Hyun,KOR,54785,SHIN,Baekcheol,KOR,54100,15
21,88405,KOGA,Akira,JPN,77123,SAITO,Taichi,JPN,52221,24
22,74732,KUSUMAWARDANA,Pramudya,INA,94430,RAMBITAN,Yeremia Erich Yoche Yacob,INA,50270,21
23,56746,LU,Ching Yao,TPE,59709,YANG,Po Han,TPE,49680,35
24,53230,LIAO,Min Chun,TPE,88829,SU,Ching Heng,TPE,49026,30
25,83797,HUANG,Kai Xiang,CHN,95396,LIU,Cheng,CHN,48520,19
26,50292,BOE,Mathias,DEN,42722,CONRAD-PETERSEN,Mads,DEN,47629,16
27,58241,OU,Xuan Yi,CHN,35357,ZHANG,Nan,CHN,46520,20
28,68633,CARNANDO,Leo Rolly,INA,84786,MARTHIN,Daniel,INA,44275,18
29,91440,FIKRI,Muhammad Shohibul,INA,79658,MAULANA,Bagas,INA,43900,23
30,72885,POPOV,Christo,FRA,61628,POPOV,Toma Junior,FRA,43479,23
31,99102,LEE,Jhe-Huei,TPE,76275,YANG,Po-Hsuan,TPE,42357,30
32,59822,ARYA PANGKARYANIRA,Wahyu Nayaka,INA,74945,SANTOSO,Ade Yusuf,INA,40680,17
33,59419,INOUE,Takuto,JPN,95761,KANEKO,Yuki,JPN,40317,17
34,93791,HO-SHUE,Jason Anthony,CAN,25322,YAKURA,Nyl,CAN,40284,31
35,67922,DUNN,Alexander,SCO,85159,HALL,Adam,SCO,39400,22
36,39276,KIM,Gi Jung,KOR,52774,LEE,Yong Dae,KOR,39320,13
37,88726,JANSEN,Jones Ralfy,GER,54440,KAESBAUER,Peter,GER,38788,28
38,36299,CHEW,Phillip,USA,93167,CHEW,Ryan,USA,38648,33
39,74324,MATSUI,Keiichiro,JPN,89680,TAKEUCHI,Yoshinori,JPN,38310,15
40,59803,ATTRI,Manu,IND,24172,REDDY B.,Sumeeth,IND,36969,24
41,87985,DI,Zi Jian,CHN,55414,WANG,Chang,CHN,36026,16
42,98935,M.R. ARJUN,,IND,57372,DHRUV KAPILA,,IND,35950,17
43,93455,MAAS,Jelle,NED,66357,TABELING,Robin,NED,33773,21
44,73936,JOMKOH,Supak,THA,73633,KEDREN,Kittinupong,THA,33133,8
45,68134,LUNDGAARD,Daniel,DEN,84057,THYRRI,Mathias,DEN,32470,22
46,77262,KANG,Minhyuk,KOR,77618,KIM,Jaehwan,KOR,32400,17
47,86756,HEMMING,Callum,ENG,62414,STALLWOOD,Steven,ENG,31915,12
48,93858,JILLE,Ruben,NED,91971,VAN DER LECQ,Ties,NED,30870,21
49,75983,ISARA,Bodin,THA,67172,JONGJIT,Maneepong,THA,30607,16
50,67894,EIPE,Joel,DEN,64729,KJÆR,Rasmus,DEN,30490,12
51,70028,GRIMLEY,Christopher,SCO,92470,GRIMLEY,Matthew,SCO,29950,23
52,74932,KANEKO,Mahiro,JPN,81522,KUBOTA,Yunosuke,JPN,29490,15
53,86479,OKAMURA,Hiroki,JPN,91060,ONODERA,Masayuki,JPN,29300,15
54,89416,CORVEE,Lucas,FRA,22038,LABAR,Ronan,FRA,29150,12
55,91739,DELRUE,Fabien,FRA,88264,VILLEGER,William,FRA,29103,15
56,53131,ARIF,Mohamad Arif Ab Latif,MAS,70443,AZRIYN,Nur Mohd Azriyn Ayub,MAS,28510,13
57,67486,OLOFUA,Godwin,NGR,79662,OPEYORI,Anuoluwapo Juwon,NGR,28463,19
58,61855,PRATAMA,Angga,INA,66493,KARANDASUWARDI,Ricky,INA,28310,10
59,59472,GEISS,Bjarne,GER,78935,VÖLKER,Jan Colin,GER,28259,15
60,98935,M.R. ARJUN,,IND,75231,SHLOK,Ramchandran,IND,27364,10
